,Statement,Category
0,im mad hit fat bitch,bully
1,kitchen rule booty cam rule,bully
2,kill self ur swap fag as bitch,bully
3,say fuck u call forget cracker as,bully
4,alright nice one get nothing say one fag bag,bully
5,photoshopping think make look way completely depress,bully
6,read verse problem christian see bible verse lose shit even take time actually read believer stupid fuck,bully
7,slave stupid as rule book write thousand year ago would anyone choose stupid,bully
8,god count religion barbaric ashamed childish way fuck,bully
9,solid proof god real would pass science lab tool,bully
10,stop thinking know shit world,bully
11,dead underground get skull suck mascot like rest us,bully
12,u r terrible sinner u bully god much ask forgiveness forgive u u pray ur life god make good u say ur life suck would suck u go even alive may god forgive u turn dont care die savior god lord father believe luv much would die discussed u,bully
13,bully god believe exist anyone idiot disgust say would die invisible make genie sky worst kind person,bully
14,shit normal terrify would male marry another male alla forgive us,bully
15,everything bible true real dense count know fuck holy spirit fuck god fuck jesus christ die shit fucking count,bully
16,lmaz ur eleanor ship mean bitch lol shut,bully
17,forget overwhelm scientific evidence evolution true jesus never exist nice life regard,bully
18,faith logic know right prove point see hell prove die nothing happens know one day,bully
19,fuck freak literally think go replace spin pussy forget garbage like steal home insert disgust freak big as one black heritage,bully
20,ha mad bc shut,bully
21,dumb as shit know cook comma know n feed mouth,bully
22,im girl good look thats pretty much wan na get wife get ta worth much hey men money like cheap thing,bully
23,lol look say right black bare look like run stripper know anything go picture poor take men rent like lawn maintenance company,bully
24,oh sure would disrespect front baby father poor own business landscape california meet work nurse stripper lol n even body strip use brain lol ugly feel sorry wife ignorant husband nobody outside ig place voice,bully
25,blah blah bitch say mean mean say send subliminals lol need find life mean ig,bully
26,last response get cause catch well anyways one post property old crust break vhs use coach scandal wear dirty car drive ross towel drain coffin bend dirty floor forever dress wear as luck,bully
27,bitch shut woman let link shut dead serious f say anything else choose fate say,bully
28,lol waste time hood rat look threaten find make fate lol please stop say take picture people house sorry much house build sorry small benz get level tell husband gon na need row lawn do kthxbye pen,bully
29,must tough poor middle class try stunt like something big,bully
30,dont fuck crappy dont cheat rasheeda fag,bully
31,kirk u shit crappy dirt get shit yo sorry punk as bitch,bully
32,yaw shit two different level undercover brother selfish wan na kill unborn even properly communicate w selfless woman ca n communicate period kus selfish like punk gay as kirk,bully
33,mom lip slide dick,bully
34,sister pole jam,bully
35,fuck u pussy as bitch u claim blaze u take shit fuck mark,bully
36,one thing want terminate everyone muslim fuck religion around world,bully
37,mom lip slide give taxi money get hell house,bully
38,ur rocky fuck nig u live cal fuck u self fact,bully
39,like bunch sensitive instaqueers haha example girl complain period,bully
40,go fuck believe something retard injured,bully
41,believe honestly retard know injured mean illuminate life dumb big,bully
42,lol grow ball talk shit funny seem follower n get as chop feed jay z also quit child molest fat as judge others picture bitch,bully
43,nobody know sure think clean stop preaching shit dirty shut,bully
44,u call bitch ur male wear skirt big hey arnold fan smh,bully
45,lmaz also look slow mac miller fan look like syndrome,bully
46,u r one ppl r mad world cup u little dick virgin till u die,bully
47,reply transparency shadow ban leave billionaire tax exempt trump supporter want slave follower instead employee creative independent thinking,bully
48,ur kid parent pay kid ur friend,bully
49,u get asahi go pakistan world need freedom islamic terrorism enough enough,bully
50,hero hope die haha,bully
51,shut fuck get respect fuck yo bff black friend let say big look dumb af,bully
52,yo mac doesnt give fuck u lol go listen song cool key c sharp try u faggot want use hope u performs old shit concert dude stop try tell people u come cause u big fan u put u would still support movement lol latin as,bully
53,bully ray joke,bully
54,girl like fuck rap thrown ditch whore,bully
55,go fuck girl man forget,bully
56,ur girl level like shore lmaz btw girl look like long thirty long as horse head horse,bully
57,bully dumb like rest mass study project blue book kkk use u famous people one project mmm smart saw shock fair see someone like judge funny ig jeff kinda way know dr x musk magnet save loser go quit come world fix image fuck people bully,bully
58,clown jazz nigra realize want money cup cute give damn rasheeda,bully
59,weak bony little forget,bully
60,disrespectful son bitch u lucky married cup would send brother fuck u westcoaststyle,bully
61,stand big gum girl back corn,bully
62,none rap bitch please hear hoe u tube try free style lame fuck lame rap try hard,bully
63,never yakkkkkkkkk face vomit dont get feeling look,bully
64,next step porno movie,bully
65,u hoe block ur page bum bitch get real job stop suck dick,bully
66,wow get around freaky freaky,bully
67,know bitch thirty know refer starve,bully
68,thirty whore someone get bitch demand,bully
69,pr ck f ck right sunk f ck tory,bully
70,wow think u dope girl quite frankly gym shoe know u careless comment friends completely disgrace real woman class respect smh lol,bully
71,u marry long u old still know shit black as clown ur sum,bully
72,another popcorn hoe berita smile cup yo gun r suck lmaz,bully
73,busy try call gloria real shut bucket dishrag hoe,bully
74,die press slowly drool face face hand mouth,bully
75,go fuck girl get castrate fearful pussy,bully
76,thirty even cute basic richest,bully
77,look like tyranny bikini,bully
78,listen shit halfway far enough face symbol mouth,bully
79,one glad gay face vomit,bully
80,wan na never go level wish gloria would slap move love hip hop try relevant smh back n ugly hell,bully
81,fuck crappy sad,bully
82,face vomit face vomit face vomit face vomit face vomit face vomit face vomit face vomit,bully
83,hope u get shot foo,bully
84,face vomit rainbow crap cannon,bully
85,damn gay even go hell straight face hand mouth face hand mouth,bully
